sequence_name,hamming_distance,overlap_length,hamming_per_overlap,sampling_date_str,sampling_date,days_since_ref,overlap_coverage
ZAF/NHLS-UCT-GS-0058/2020|2020-03-25,1,3782,2.6441036488630354e-4,2020-03-25,2020-03-25,90,0.989534275248561
EGY/Egypt-Army-Thirdwave-300/2021|2021-04-25,10,3821,0.0026171159382360636,2021-04-25,2021-04-25,486,0.999738356881214
IND/INSACOG-GBRC1606/2021|2021-08-21,9,3816,0.0023584905660377358,2021-08-21,2021-08-21,604,0.9984301412872841
MWI/MLW001048/2021|2021-02-01,7,3738,0.0018726591760299626,2021-02-01,2021-02-01,403,0.978021978021978
TGO/nmimr-TG-SARS-CoV-2-TGS-057-21/2021|2021-02-20,9,3813,0.0023603461841070024,2021-02-20,2021-02-20,422,0.9976452119309263
CHN/6238/2021|2021-06-05,8,3812,0.002098635886673662,2021-06-05,2021-06-05,527,0.9973835688121402
IND/GBRC592b/2021|2021-02-19,7,3813,0.0018358248098610018,2021-02-19,2021-02-19,421,0.9976452119309263
RUS/Primorye_3793/2020|2020-11-02,4,3822,0.0010465724751439038,2020-11-02,2020-11-02,312,1
BRA/Rio-NS1/2020|2020-06-09,1,3822,2.6164311878597594e-4,2020-06-09,2020-06-09,166,1
BGD/IEDCR-OIS-0263/2021|2021-06-20,7,3815,0.001834862385321101,2021-06-20,2021-06-20,542,0.9981684981684982
IND/hospital_2_110/2021|2021-04-07,7,3630,0.001928374655647383,2021-04-07,2021-04-07,468,0.9497645211930926
VNM/OUCRU-NHTD_B329/2021|2021-02-07,6,3813,0.0015735641227380016,2021-02-07,2021-02-07,409,0.9976452119309263
USA/0-67409-3/2021|2021-01-09,6,3820,0.0015706806282722514,2021-01-09,2021-01-09,380,0.9994767137624281
IRN/4058/2020|2020-09-25,3,3822,7.849293563579278e-4,2020-09-25,2020-09-25,274,1
USA/C014153171/2020|2020-09-16,4,3822,0.0010465724751439038,2020-09-16,2020-09-16,265,1
HG994234|2020-08-20,2,3822,5.232862375719519e-4,2020-08-20,2020-08-20,238,1
PAK/SARS-CoV-2_91/2020|2020-04-15,2,3822,5.232862375719519e-4,2020-04-15,2020-04-15,111,1
EGY/CPHL-NRC-18/2020|2020-03-25,1,3822,2.6164311878597594e-4,2020-03-25,2020-03-25,90,1
EGY/CPHL-NRC-22/2020|2020-03-13,1,3822,2.6164311878597594e-4,2020-03-13,2020-03-13,78,1
EGY/CPHL-NRC-1/2020|2020-06-10,1,3722,2.6867275658248256e-4,2020-06-10,2020-06-10,167,0.9738356881214024
EGY/CPHL-NRC-3/2020|2020-04-05,1,3590,2.785515320334262e-4,2020-04-05,2020-04-05,101,0.9392987964416536
TUN/TUN-202069681/2020|2020-12-24,4,3822,0.0010465724751439038,2020-12-24,2020-12-24,364,1
IND/CMP_30_FMR/2020|2020-09-09,2,3822,5.232862375719519e-4,2020-09-09,2020-09-09,258,1
KEN/C4691/2020|2020-05-05,1,3822,2.6164311878597594e-4,2020-05-05,2020-05-05,131,1
NGA/CV256/2020|2020-04-20,1,3822,2.6164311878597594e-4,2020-04-20,2020-04-20,116,1
IND/GBRC496/2020|2020-11-28,3,3822,7.849293563579278e-4,2020-11-28,2020-11-28,338,1
IND/GBRC521b/2020|2020-11-27,3,3822,7.849293563579278e-4,2020-11-27,2020-11-27,337,1
IND/GBRC544a/2021|2021-01-01,3,3822,7.849293563579278e-4,2021-01-01,2021-01-01,372,1
BRA/PR-HF279/2021|2021-04-10,8,3813,0.002098085496984002,2021-04-10,2021-04-10,471,0.9976452119309263
MEX/YUC-4_4113/2021|2021-12-06,8,3816,0.0020964360587002098,2021-12-06,2021-12-06,711,0.9984301412872841
Pakistan/UHS2-Pak-448/2021|2021-06-01,10,3546,0.0028200789622109417,2021-06-01,2021-06-01,523,0.9277864992150706
IDN/10761001046/2021|2021-02-24,4,3627,0.0011028398125172319,2021-02-24,2021-02-24,426,0.9489795918367347
SWE/14_SE300_DE20-027089/2020|2020-06-02,1,3822,2.6164311878597594e-4,2020-06-02,2020-06-02,159,1
ETH/AH-003/2020|2020-11-10,4,3822,0.0010465724751439038,2020-11-10,2020-11-10,320,1
IND/CWS_0078_55266732/2021|2021-06-10,6,3809,0.0015752165922814387,2021-06-10,2021-06-10,532,0.9965986394557823
IND/387MN908947.3/2021|2021-09-10,8,3822,0.0020931449502878076,2021-09-10,2021-09-10,624,1
BGD/BSMMU-15/2020|2020-12-03,2,3822,5.232862375719519e-4,2020-12-03,2020-12-03,343,1
CHN/SH-P78-B-3-Europe-Italy/2020|2020-03-26,2,3822,5.232862375719519e-4,2020-03-26,2020-03-26,91,1
PHL/PH-DDOPH-12-4/2021|2021-05-27,8,3509,0.002279851809632374,2021-05-27,2021-05-27,518,0.9181057038199896
Pakistan/UHS2-Pak-8/2021|2021-05-01,7,3546,0.0019740552735476595,2021-05-01,2021-05-01,492,0.9277864992150706
IND/KA-NIMH-SEQ-136/2020|2020-11-30,2,3822,5.232862375719519e-4,2020-11-30,2020-11-30,340,1
MEX/CMX-4/2020|2020-03-29,0,3822,0,2020-03-29,2020-03-29,94,1
KEN/SS2821/2020|2020-10-12,2,3822,5.232862375719519e-4,2020-10-12,2020-10-12,291,1
CHN/S167-1694-310521/2021|2021-07-15,8,3816,0.0020964360587002098,2021-07-15,2021-07-15,567,0.9984301412872841
TZA/KIDH-02B02/2021|2021-04-26,8,3813,0.002098085496984002,2021-04-26,2021-04-26,487,0.9976452119309263
PHL/PH-CRMC-13-16/2021|2021-05-23,11,3644,0.0030186608122941823,2021-05-23,2021-05-23,514,0.9534275248560963
CHN/5994/2021|2021-05-31,8,3816,0.0020964360587002098,2021-05-31,2021-05-31,522,0.9984301412872841
CMR/CERI-NPHL-K026244/2021|2021-09-23,7,3123,0.002241434518091579,2021-09-23,2021-09-23,637,0.8171114599686028
CHN/6050/2021|2021-05-29,8,3816,0.0020964360587002098,2021-05-29,2021-05-29,520,0.9984301412872841
Peru/PE-LMA-UW21042796607/2021|2021-04-27,7,3801,0.001841620626151013,2021-04-27,2021-04-27,488,0.9945054945054945
NLD/EMC-Beta-1/2021|2021-01-20,8,3813,0.002098085496984002,2021-01-20,2021-01-20,391,0.9976452119309263
JOR/SEARCH-5429-JOR/2020|2020-08-18,3,3822,7.849293563579278e-4,2020-08-18,2020-08-18,236,1
OU074088|2021-02-11,1,3822,2.6164311878597594e-4,2021-02-11,2021-02-11,413,1
IND/INSACOG-GBRC1480/2021|2021-07-10,9,3816,0.0023584905660377358,2021-07-10,2021-07-10,562,0.9984301412872841
CHN/SH-P64-B-2-Asia-Japan/2020|2020-02-29,1,3822,2.6164311878597594e-4,2020-02-29,2020-02-29,65,1
NGA/CV294/2020|2020-07-08,1,3822,2.6164311878597594e-4,2020-07-08,2020-07-08,195,1
NGA/CV2771/2021|2021-08-26,6,3816,0.0015723270440251573,2021-08-26,2021-08-26,609,0.9984301412872841
UZB/UZB-399/2021|2021-06-25,9,3663,0.002457002457002457,2021-06-25,2021-06-25,547,0.9583987441130298
England/MILK-15D9518/2021|2021-05-28,8,3816,0.0020964360587002098,2021-05-28,2021-05-28,519,0.9984301412872841
BGD/IEDCR-OIS-0001/2021|2021-05-02,8,3595,0.0022253129346314327,2021-05-02,2021-05-02,493,0.9406070120355835
CHN/S149-1294-248389/2021|2021-04-12,5,3822,0.0013082155939298796,2021-04-12,2021-04-12,473,1
CHN/5976/2021|2021-05-30,8,3717,0.0021522733387140166,2021-05-30,2021-05-30,521,0.9725274725274725
IDN/10761001063/2021|2021-03-23,5,3627,0.0013785497656465398,2021-03-23,2021-03-23,453,0.9489795918367347
IDN/10761001030/2021|2021-01-27,2,3506,5.704506560182544e-4,2021-01-27,2021-01-27,398,0.9173207744636316
Mexico/SEARCH-102584/2020|2020-04-12,2,3822,5.232862375719519e-4,2020-04-12,2020-04-12,108,1
PER/CF02000-SW-V0101/2021|2021-08-04,5,3801,0.0013154433043935806,2021-08-04,2021-08-04,587,0.9945054945054945
IND/ICMR-NIRTH-S1/2020|2020-03-27,2,3822,5.232862375719519e-4,2020-03-27,2020-03-27,92,1
MEX/SEARCH-6636/2020|2020-12-07,5,3791,0.0013189132155104195,2020-12-07,2020-12-07,347,0.9918890633176347
MEX/CMX-56/2020|2020-05-20,2,3822,5.232862375719519e-4,2020-05-20,2020-05-20,146,1
IDN/10752101037/2021|2021-10-13,5,2813,0.0017774617845716318,2021-10-13,2021-10-13,657,0.7360020931449502
FRA/21102180472/2021|2021-10-11,6,3692,0.0016251354279523294,2021-10-11,2021-10-11,655,0.9659863945578231
IND/ICMR-NIRTH-S13/2020|2020-04-07,1,3797,2.633658151171978e-4,2020-04-07,2020-04-07,103,0.9934589220303506
NGA/CV4737/2021|2021-10-10,11,3816,0.002882599580712788,2021-10-10,2021-10-10,654,0.9984301412872841
PHL/COVID58620/2021|2021-04-08,9,3813,0.0023603461841070024,2021-04-08,2021-04-08,469,0.9976452119309263
IND/KA-NIMH-SEQ-30/2020|2020-12-24,3,3822,7.849293563579278e-4,2020-12-24,2020-12-24,364,1
PHL/COVID55604/2021|2021-03-26,9,3615,0.0024896265560165973,2021-03-26,2021-03-26,456,0.945839874411303
USA/TN-SPHL-1353/2021|2021-01-14,2,3778,5.293806246691371e-4,2021-01-14,2021-01-14,385,0.988487702773417
IND/KA-NIMH-SEQ-24/2020|2020-12-23,1,3822,2.6164311878597594e-4,2020-12-23,2020-12-23,363,1
NOR/Bergen-01/2020|2020-03-18,2,3822,5.232862375719519e-4,2020-03-18,2020-03-18,83,1
IND/INSACOG-GBRC1593/2021|2021-08-16,7,3669,0.0019078768056691197,2021-08-16,2021-08-16,599,0.9599686028257457
CHN/Qingdao_305/2020|2020-10-10,3,3822,7.849293563579278e-4,2020-10-10,2020-10-10,289,1
IND/GBRC557b/2021|2021-01-11,4,3822,0.0010465724751439038,2021-01-11,2021-01-11,382,1
OQ788230|2021-10-15,10,3816,0.002620545073375262,2021-10-15,2021-10-15,659,0.9984301412872841
USA/AL-CDC-FG-012122/2021|2021-03-22,5,3822,0.0013082155939298796,2021-03-22,2021-03-22,452,1
TUR/Erbil6/2021|2021-03-09,7,3818,0.0018334206390780514,2021-03-09,2021-03-09,439,0.998953427524856
NGA/CV250/2020|2020-07-10,1,3822,2.6164311878597594e-4,2020-07-10,2020-07-10,197,1
NGA/CV389/2020|2020-08-17,1,3822,2.6164311878597594e-4,2020-08-17,2020-08-17,235,1
NGA/CV2311/2021|2021-08-11,10,3815,0.002621231979030144,2021-08-11,2021-08-11,594,0.9981684981684982
CHN/SH-P24-B-2-Wuhan/2020|2020-02-15,1,3822,2.6164311878597594e-4,2020-02-15,2020-02-15,51,1
IDN/10761001087/2021|2021-05-06,5,3627,0.0013785497656465398,2021-05-06,2021-05-06,497,0.9489795918367347
NGA/CV1322/2021|2021-02-16,7,3395,0.002061855670103093,2021-02-16,2021-02-16,418,0.8882783882783882
IND/KA-NIMH-SEQ-137/2020|2020-11-24,3,3822,7.849293563579278e-4,2020-11-24,2020-11-24,334,1
THA/CONI-0482/2021|2021-01-31,2,3636,5.5005500550055e-4,2021-01-31,2021-01-31,402,0.9513343799058085
IDN/10752101012/2021|2021-04-01,3,3424,8.761682242990654e-4,2021-04-01,2021-04-01,462,0.8958660387231816
Colombia/CO-SAN-UW21111638288/2021|2021-11-16,6,3282,0.0018281535648994515,2021-11-16,2021-11-16,691,0.858712715855573
UZB/hCoV-19-Uzb-CGB-37/2021|2021-07-23,7,3804,0.001840168243953733,2021-07-23,2021-07-23,575,0.9952904238618524
PRY/WOR12903A654_202103293_2-4710615/2020|2020-07-30,2,3821,5.234231876472127e-4,2020-07-30,2020-07-30,217,0.999738356881214
LC655319|2020-05-07,2,3822,5.232862375719519e-4,2020-05-07,2020-05-07,133,1
SOM/NAMRU3_Mog_32/2021|2021-02-28,8,3813,0.002098085496984002,2021-02-28,2021-02-28,430,0.9976452119309263
IND/CWS_0047_54463387/2021|2021-06-08,6,3763,0.0015944724953494552,2021-06-08,2021-06-08,530,0.9845630559916274
OU324562|2021-04-21,8,3813,0.002098085496984002,2021-04-21,2021-04-21,482,0.9976452119309263
CHN/SH-P95-3-Europe-UK/2020|2020-04-02,1,3822,2.6164311878597594e-4,2020-04-02,2020-04-02,98,1
PHL/COVID52511/2021|2021-03-18,7,3813,0.0018358248098610018,2021-03-18,2021-03-18,448,0.9976452119309263
Colombia/CO-DC-UW21062956468/2021|2021-06-29,9,3822,0.002354788069073783,2021-06-29,2021-06-29,551,1
IND/IGIB107016/2020|2020-08-01,1,3820,2.617801047120419e-4,2020-08-01,2020-08-01,219,0.9994767137624281
CAN/NML_Gamma_P2/2021|2021-04-20,13,3822,0.003401360544217687,2021-04-20,2021-04-20,481,1
BEN/1408/2020|2020-04-04,1,3821,2.6171159382360636e-4,2020-04-04,2020-04-04,100,0.999738356881214
PAK/SARS-CoV-2_6/2020|2020-05-29,2,3822,5.232862375719519e-4,2020-05-29,2020-05-29,155,1
PAK/AKUs46/2020|2020-08-25,2,3822,5.232862375719519e-4,2020-08-25,2020-08-25,243,1
PAK/JRCGR-KHI48/2020|2020-08-04,3,3822,7.849293563579278e-4,2020-08-04,2020-08-04,222,1
EGY/EGY_CCHE57357_A_58/2020|2020-07-23,0,3822,0,2020-07-23,2020-07-23,210,1
GHA/WACCBIP_nCoV_GS34/2020|2020-08-03,2,3820,5.235602094240838e-4,2020-08-03,2020-08-03,221,0.9994767137624281
GHA/WACCBIP_nCoV_GS162/2021|2021-01-06,7,3813,0.0018358248098610018,2021-01-06,2021-01-06,377,0.9976452119309263
PHL/PH-PGC-00401/2020|2020-12-10,7,3807,0.0018387181507748883,2020-12-10,2020-12-10,350,0.9960753532182104
PHL/PH-PGC-02225/2021|2021-01-08,7,3810,0.001837270341207349,2021-01-08,2021-01-08,379,0.9968602825745683
PHL/PH-PGC-02886/2021|2021-01-16,7,3640,0.0019230769230769232,2021-01-16,2021-01-16,387,0.9523809523809523
BRA/ViroUNIFESP-V399-B/2021|2021-01-26,3,3822,7.849293563579278e-4,2021-01-26,2021-01-26,397,1
Japan/sb_ncgm_sars_cov_2_08335/2021|2021-01-11,4,3822,0.0010465724751439038,2021-01-11,2021-01-11,382,1
PAK/JRCGR_SCV-56_IBGE-08/2020|2020-12-10,5,3822,0.0013082155939298796,2020-12-10,2020-12-10,350,1
IND/GBRC515/2020|2020-11-29,4,3822,0.0010465724751439038,2020-11-29,2020-11-29,339,1
EGY/CPHL-NRC-17/2020|2020-03-25,1,3589,0.00027862914460852607,2020-03-25,2020-03-25,90,0.9390371533228676
IND/CMP_31_FMR/2020|2020-09-09,6,3593,0.0016699137211244085,2020-09-09,2020-09-09,258,0.9400837257980115
ISR/hCov-19-Israel-CVL-n-8411/2020|2020-04-16,1,3822,2.6164311878597594e-4,2020-04-16,2020-04-16,112,1
ESP/hCoV-19_Spain_CT-HUVH-16597_2021/2021|2021-01-20,8,3813,0.002098085496984002,2021-01-20,2021-01-20,391,0.9976452119309263
EGY/PHARCO-ARMY69/2021|2021-03-22,6,3819,0.0015710919088766694,2021-03-22,2021-03-22,452,0.9992150706436421
IDN/10761001034/2021|2021-02-04,3,3822,7.849293563579278e-4,2021-02-04,2021-02-04,406,1
PHL/210316-2/2021|2021-03-16,9,3807,0.002364066193853428,2021-03-16,2021-03-16,446,0.9960753532182104
UGA/MUWRP-JIN200227S/2020|2020-10-31,2,3822,5.232862375719519e-4,2020-10-31,2020-10-31,310,1
USA/WI-CDC-ASC210610262/2021|2021-12-11,10,3816,0.002620545073375262,2021-12-11,2021-12-11,716,0.9984301412872841
CHN/S171-1780-316574/2021|2021-08-01,8,3816,0.0020964360587002098,2021-08-01,2021-08-01,584,0.9984301412872841
IRQ/Samawa-50/2021|2021-02-22,4,3822,0.0010465724751439038,2021-02-22,2021-02-22,424,1
IDN/10761001080/2021|2021-04-28,5,3626,0.0013789299503585218,2021-04-28,2021-04-28,489,0.9487179487179487
BRA/20427/2020|2020-08-18,4,3809,0.0010501443948542925,2020-08-18,2020-08-18,236,0.9965986394557823
NGA/CV631/2020|2020-11-26,5,3622,0.0013804527885146328,2020-11-26,2020-11-26,336,0.9476713762428048
IND/INSACOG-GBRC1446/2021|2021-04-29,7,3760,0.0018617021276595746,2021-04-29,2021-04-29,490,0.9837781266352695
OM065346|2020-01-29,2,3822,5.232862375719519e-4,2020-01-29,2020-01-29,34,1
LC655378|2021-03-08,2,3822,5.232862375719519e-4,2021-03-08,2021-03-08,438,1
IND/ICMR-NIRTH-S2/2020|2020-03-27,2,3822,5.232862375719519e-4,2020-03-27,2020-03-27,92,1
IND/INSACOG-GBRC1523/2021|2021-08-09,7,3816,0.0018343815513626835,2021-08-09,2021-08-09,592,0.9984301412872841
VEN/Dtt54/2021|2021-03-13,12,3822,0.0031397174254317113,2021-03-13,2021-03-13,443,1
OU994318|2020-05-24,0,3822,0,2020-05-24,2020-05-24,150,1
Homosampiens/CHN/YB20200116031/2020|2020-01-16,0,3822,0,2020-01-16,2020-01-16,21,1
BRA/PI-NVBS11158GENOV701347468859/2021|2021-12-03,7,3816,0.0018343815513626835,2021-12-03,2021-12-03,708,0.9984301412872841
TZA/KIDH-02B14/2021|2021-05-03,7,3542,0.001976284584980237,2021-05-03,2021-05-03,494,0.9267399267399268
IND/Hisar/2020|2020-05-10,2,3822,5.232862375719519e-4,2020-05-10,2020-05-10,136,1
PAK/JRCGR_KHI_SCV-132/2021|2021-08-02,9,3816,0.0023584905660377358,2021-08-02,2021-08-02,585,0.9984301412872841
OZ064149|2021-07-28,9,3407,0.0026416201937188143,2021-07-28,2021-07-28,580,0.89141810570382
BGD/BCSIR-SUST-03/2021|2021-01-08,8,3813,0.002098085496984002,2021-01-08,2021-01-08,379,0.9976452119309263
ZAF/NHLS-UCT-GS-AE07/2021|2021-08-20,5,3739,0.001337255950788981,2021-08-20,2021-08-20,603,0.978283621140764
USA/MN-CDC-QDX27053458/2021|2021-07-19,12,3816,0.0031446540880503146,2021-07-19,2021-07-19,571,0.9984301412872841
FRA/21052270251/2021|2021-05-25,7,3479,0.002012072434607646,2021-05-25,2021-05-25,516,0.9102564102564102
OZ068118|2021-12-05,8,3597,0.0022240756185710315,2021-12-05,2021-12-05,710,0.9411302982731554
JOR/SEARCH-5479-JOR/2020|2020-09-14,3,3822,7.849293563579278e-4,2020-09-14,2020-09-14,263,1
CHN/S260-4001-474631/2021|2021-12-26,8,3816,0.0020964360587002098,2021-12-26,2021-12-26,731,0.9984301412872841
IND/INSACOG-GBRC1473/2021|2021-07-05,8,3816,0.0020964360587002098,2021-07-05,2021-07-05,557,0.9984301412872841
NZL/21CV0210/2021|2021-07-12,10,3816,0.002620545073375262,2021-07-12,2021-07-12,564,0.9984301412872841
Colombia/CO-DC-UW20120736989/2020|2020-12-07,2,3822,5.232862375719519e-4,2020-12-07,2020-12-07,347,1
NGA/CV172/2020|2020-06-11,2,3587,5.575689991636465e-4,2020-06-11,2020-06-11,168,0.9385138670852956
Colombia/UW21010585087/2021|2021-01-05,2,3819,5.236973029588898e-4,2021-01-05,2021-01-05,376,0.9992150706436421
PAK/IoM-II/2021|2021-01-07,2,3822,5.232862375719519e-4,2021-01-07,2021-01-07,378,1
BRA/21893967RVR/2021|2021-07-06,15,3822,0.003924646781789639,2021-07-06,2021-07-06,558,1
PAK/AKUs19/2020|2020-05-20,2,3822,5.232862375719519e-4,2020-05-20,2020-05-20,146,1
IRN/12624/2020|2020-04-28,0,3822,0,2020-04-28,2020-04-28,124,1
OZ192266|2021-07-09,12,3822,0.0031397174254317113,2021-07-09,2021-07-09,561,1
BRA/29866/2020|2020-09-18,3,3822,7.849293563579278e-4,2020-09-18,2020-09-18,267,1
IND/GBRC507b/2020|2020-12-14,4,3822,0.0010465724751439038,2020-12-14,2020-12-14,354,1
IND/20/2021|2021-12-23,8,3822,0.0020931449502878076,2021-12-23,2021-12-23,728,1
OU077231|2020-12-16,5,3822,0.0013082155939298796,2020-12-16,2020-12-16,356,1
Homosampiens/CHN/AY316/2020|2020-02-03,1,3822,2.6164311878597594e-4,2020-02-03,2020-02-03,39,1
ETH/S3/2021|2021-01-26,3,3822,7.849293563579278e-4,2021-01-26,2021-01-26,397,1
KEN/C76874/2020|2020-12-10,2,3820,5.235602094240838e-4,2020-12-10,2020-12-10,350,0.9994767137624281
EGY/CCHE57357_W3_A139/2021|2021-06-03,5,3822,0.0013082155939298796,2021-06-03,2021-06-03,525,1
CHN/SH-P150-3-Europe-Russia/2020|2020-04-13,2,3822,5.232862375719519e-4,2020-04-13,2020-04-13,109,1
CHN/S147-1288-245897/2021|2021-04-10,4,3822,0.0010465724751439038,2021-04-10,2021-04-10,471,1
CHN/S169-1748-317361/2021|2021-07-28,9,3816,0.0023584905660377358,2021-07-28,2021-07-28,580,0.9984301412872841
CAN/Quebec-21697/2020|2020-03-28,1,3820,2.617801047120419e-4,2020-03-28,2020-03-28,93,0.9994767137624281
IDN/10761001047/2021|2021-02-25,4,3627,0.0011028398125172319,2021-02-25,2021-02-25,427,0.9489795918367347
PAK/JRCGR_SCV-64/2020|2020-11-20,4,3767,0.0010618529333687285,2020-11-20,2020-11-20,330,0.9856096284667714
OZ067555|2021-11-27,9,3719,0.0024200053777897286,2021-11-27,2021-11-27,702,0.9730507587650444
BGD/NGRI-R2-1/2020|2020-09-26,2,3822,5.232862375719519e-4,2020-09-26,2020-09-26,275,1
DOM/3002833734_728822/2021|2021-05-17,10,3822,0.0026164311878597592,2021-05-17,2021-05-17,508,1
CMR/CAM-102/2021|2021-01-21,5,3822,0.0013082155939298796,2021-01-21,2021-01-21,392,1
Iraq/KR-SEARCH-119957/2021|2021-10-16,11,3790,0.0029023746701846965,2021-10-16,2021-10-16,660,0.9916274201988488
IND/GBRC486b/2020|2020-11-24,1,3819,2.618486514794449e-4,2020-11-24,2020-11-24,334,0.9992150706436421
UGA/MAKCHScov8/2021|2021-02-19,2,3621,5.523336095001381e-4,2021-02-19,2021-02-19,421,0.9474097331240189
IND/GBRC638a/2021|2021-03-27,8,3816,0.0020964360587002098,2021-03-27,2021-03-27,457,0.9984301412872841
ZAF/NHLS-UCT-GS-AE72/2021|2021-10-21,6,3816,0.0015723270440251573,2021-10-21,2021-10-21,665,0.9984301412872841
RUS/RUSPrimorye_7014/2021|2021-07-02,7,3816,0.0018343815513626835,2021-07-02,2021-07-02,554,0.9984301412872841
IND/GBRC493b/2020|2020-11-27,2,3822,5.232862375719519e-4,2020-11-27,2020-11-27,337,1
IND/GBRC630a/2021|2021-04-01,8,3816,0.0020964360587002098,2021-04-01,2021-04-01,462,0.9984301412872841
NLD/2012292__2019-nCoV/2021|2021-05-20,8,3726,0.0021470746108427268,2021-05-20,2021-05-20,511,0.9748822605965463
CHN/HK_Silka_1/2021|2021-09-09,8,3542,0.002258610954263128,2021-09-09,2021-09-09,623,0.9267399267399268
NGA/CV451/2020|2020-05-10,2,3822,5.232862375719519e-4,2020-05-10,2020-05-10,136,1
NGA/CV3478/2021|2021-07-10,7,3816,0.0018343815513626835,2021-07-10,2021-07-10,562,0.9984301412872841
Brazil/UW20120411497/2020|2020-12-04,3,3822,7.849293563579278e-4,2020-12-04,2020-12-04,344,1
PHL/PH-CRMC-13-17/2021|2021-05-24,10,3813,0.0026226068712300026,2021-05-24,2021-05-24,515,0.9976452119309263
IDN/10761001003/2020|2020-12-08,2,3822,5.232862375719519e-4,2020-12-08,2020-12-08,348,1
IDN/10761001097/2021|2021-07-13,8,3270,0.0024464831804281344,2021-07-13,2021-07-13,565,0.8555729984301413
CHN/SH-P177-4-Asia-India/2020|2020-06-10,1,3822,2.6164311878597594e-4,2020-06-10,2020-06-10,167,1
